player_id,Cutoff Prob
y_dedm,0.0
milaa_khud,0.0
Lock,0.0
Степка,0.0
Иван777,0.0
Diar,0.0
ArtemDavidyan,0.0
Yuportal,0.0
mary_petu,0.0
Lovell,0.0
Gargul,0.0
arteminil,0.0
OlgaaGeorgieva,0.0
ДеД_ПиХтО,0.0
Олеся рыба,0.0
препод,0.0
oleg_krupnov,0.0
call_me_zanavo,0.0
Lexa777776,0.0
Luter,0.0
MikimausRA,0.0
Sladky,0.0
Akari,0.0
Тим,0.0
syancag,0.0
inteuis,0.0
rivalko,0.0
Anastasia,0.0
magistral_smr,0.0
gamzloi,0.0
anytal07,0.0
Ochkoshnik,0.0
turabka,0.0
Diosichekkk,0.0
Андрей13,0.0
glava9,0.0
Darati,0.0
Фиш,0.0
Belladonna,0.0
lucky_0ff,0.0
ra_uffff,0.0
riririna,0.0
semen_chek,0.0
Birdi8,0.0
emmdems,0.0
freedlland,0.0
Blad,0.0
Гоша,0.0
ProkoofevWriter,0.0
mr_persons,0.0
Seympl,0.0
DaryEI7,0.0
m,0.0
DannyKondr,0.0
iKandesiG,0.0
Tema,0.0
CR7,0.0
BigDosss,0.0
abic,0.0
Re6us,0.0
триумфатор ⚜,0.0
Myxa Andruha,0.0
ironmake,0.0
dobro976,0.0
AnalSatan666,0.0
heymanwakeup,0.0
Gordey_zhuravlev,0.0
Jlanc,0.0
Matvei,0.0
Leva10Leva,0.0
exprecc1,0.0
МК,0.0
Ak_Inspo,0.0
Lili,0.0
Надежда,0.0
Alexandra,0.0
OwTlion,0.0
Чекист,0.0
yltanntt,0.0
Junmakf8,0.0
armenka_26,0.0
Milana2244,0.0
Dinz,0.0
PePe,0.0
snusare,0.0
Вадим,0.0
чёрт это Брайан!,0.0
Kirill92,0.0
gmbard,0.0
aleksandr_forever_young,0.0
Sergomashina666,0.0
Drizeak,0.0
masterhorse,0.0
meooowww29,0.0
shpatelan,0.0
Rustam_Artamonov,0.0
Славный парень,0.0
Gurman_has,0.0
Мария Кудашова,0.0
FeMar13,0.0
mis_s_svetlana,0.0
sssx_xsss,0.0
gaikir,0.0
vladuk1love,0.0
Bogdan37371,0.0
DrAnishka,0.0
Thomas,0.0
2puck,0.0
paz_mafia_777,0.0
Babay_001,0.0
angelika_sheifer,0.0
Denis_Denisovi4,0.0
Zubrilliant,0.0
krvkk,0.0
Next,0.0
Леон,0.0
Andron,0.0
cloudromeo,0.0
terensv,0.0
Aleksandrr,0.0
Viper,0.0
dnbman,0.0
RomanFsky,0.0
Chimedaschool,0.0
pako_dp,0.0
chinamankа,0.0
Strawberry,0.0
Варя,0.0
Mohi,0.0
liykaaa,0.0
millaterek,0.0
500 tonn,0.0
Вин Максов,0.0
Katrin,0.0
sako,0.0
nkuraevv,0.0
ingratvendeur,0.0
willy </3,0.0
lanz8,0.0
llqsmvaa,0.0
Davys,0.0
Миллиардова,0.0
TwentyOne,0.0
Sergey G,0.0
gev_01,0.0
emvpy,0.0
ollisava,0.0
Bonk,0.0
Haksly,0.0
Lorenzo_Ghiberti,0.0
unoragazzo1,0.0
Geronimo,0.0
nagaytsev,0.0
kirillkirill1,0.0
Xanadu,0.0
ArtGro,0.0
San4es055,0.0
Михаил,0.0
Vlad_mafia,0.0
geo_shish_ka,0.0
sereezka,0.0
Мал221,0.0
Sharif,0.0
vteybash,0.0
supelimen,0.0
Abstract,0.0
stitch785,0.0
YsL_141,0.0
SvetloLi,0.0
Саня,0.0
Mavrodi,0.0
sirheroo,0.0
vad1m09473,0.0
Левон,0.0
etheriallord(GWZNS),0.0
Эди не доехал,0.0
TimuR,0.0
mary_muse7,0.0
6337448129,0.0
KochenovM,0.0
mustkov,0.0
ismail_0I,0.0
maria,0.0
VB,0.0
gekkkatta,0.0
GodЗИЛLa,0.0
anastasiah1,0.0
friendly_pppoker,0.0
svyatophor,0.0
rFikser,0.0
kk1ruha,0.0
bosoyi,0.0
llarinnnnn,0.0
bogdanov,0.0
tost001,0.0
Доктор,0.0
Ggggbet_g,0.0
traaast,0.0
Agent_Georg,0.0
npc1wka,0.0
Sdkv_Rus,0.0
Ватафа,0.0
HellGnomik,0.0
nebolsina_n,0.0
elizabeth1p,0.0
