player_id,games,total_points,avg_points,avg_finish,top_9_rate,top_20_rate,top_30_rate,made_top_30_games,near_top_30_bubble_games,top_30_bubble_avg_points,top_30_bubble_conversion_rate,points_per_top_30,bubble_score
лучший игрок,5,4465.0,893.0,13.4,0.4,0.6,1.0,5,0,0.0,0.0,893.0,0.6
Noize MC,4,3485.0,871.25,13.5,0.25,1.0,1.0,4,0,0.0,0.0,871.25,0.6
Lancelot,1,850.0,850.0,4.0,1.0,1.0,1.0,1,0,0.0,0.0,850.0,0.6
by_twentyseven,2,1550.0,775.0,5.0,1.0,1.0,1.0,2,0,0.0,0.0,775.0,0.6
Демон,1,775.0,775.0,5.0,1.0,1.0,1.0,1,0,0.0,0.0,775.0,0.6
balamuto4ka,1,700.0,700.0,6.0,1.0,1.0,1.0,1,0,0.0,0.0,700.0,0.6
danalanaaa,1,700.0,700.0,6.0,1.0,1.0,1.0,1,0,0.0,0.0,700.0,0.6
sashaRXY,1,700.0,700.0,6.0,1.0,1.0,1.0,1,0,0.0,0.0,700.0,0.6
Комар,1,700.0,700.0,13.0,0.0,1.0,1.0,1,0,0.0,0.0,700.0,0.6
Dima!,2,1295.0,647.5,12.0,0.5,1.0,1.0,2,0,0.0,0.0,647.5,0.6
Moпс,1,625.0,625.0,7.0,1.0,1.0,1.0,1,0,0.0,0.0,625.0,0.6
Похороное бюро «улыбка»,1,625.0,625.0,7.0,1.0,1.0,1.0,1,0,0.0,0.0,625.0,0.6
Maza,1,600.0,600.0,19.0,0.0,1.0,1.0,1,0,0.0,0.0,600.0,0.6
KidPoker,1,550.0,550.0,8.0,1.0,1.0,1.0,1,0,0.0,0.0,550.0,0.6
ЛЕНИН,1,550.0,550.0,8.0,1.0,1.0,1.0,1,0,0.0,0.0,550.0,0.6
G_rant_999,1,530.0,530.0,10.0,0.0,1.0,1.0,1,0,0.0,0.0,530.0,0.6
FreSko,1,500.0,500.0,21.0,0.0,0.0,1.0,1,0,0.0,0.0,500.0,0.6
lethalpresence,1,500.0,500.0,23.0,0.0,0.0,1.0,1,0,0.0,0.0,500.0,0.6
cheremsha,1,495.0,495.0,9.0,1.0,1.0,1.0,1,0,0.0,0.0,495.0,0.6
CATALINA,1,475.0,475.0,9.0,1.0,1.0,1.0,1,0,0.0,0.0,475.0,0.6
jieb,1,475.0,475.0,9.0,1.0,1.0,1.0,1,0,0.0,0.0,475.0,0.6
STrelOK,1,460.0,460.0,20.0,0.0,1.0,1.0,1,0,0.0,0.0,460.0,0.6
Лось,1,405.0,405.0,14.0,0.0,1.0,1.0,1,0,0.0,0.0,405.0,0.6
HellGnomik,1,350.0,350.0,10.0,0.0,1.0,1.0,1,0,0.0,0.0,350.0,0.6
KTLVL,1,350.0,350.0,10.0,0.0,1.0,1.0,1,0,0.0,0.0,350.0,0.6
Sofiya,1,350.0,350.0,13.0,0.0,1.0,1.0,1,0,0.0,0.0,350.0,0.6
bad_teacher,1,350.0,350.0,11.0,0.0,1.0,1.0,1,0,0.0,0.0,350.0,0.6
dzhemus,1,350.0,350.0,11.0,0.0,1.0,1.0,1,0,0.0,0.0,350.0,0.6
mary_muse7,1,350.0,350.0,10.0,0.0,1.0,1.0,1,0,0.0,0.0,350.0,0.6
Николай К,1,350.0,350.0,12.0,0.0,1.0,1.0,1,0,0.0,0.0,350.0,0.6
Ruslan1,1,325.0,325.0,15.0,0.0,1.0,1.0,1,0,0.0,0.0,325.0,0.6
serpav_04,1,325.0,325.0,15.0,0.0,1.0,1.0,1,0,0.0,0.0,325.0,0.6
1С,1,300.0,300.0,19.0,0.0,1.0,1.0,1,0,0.0,0.0,300.0,0.6
Bushido,1,300.0,300.0,18.0,0.0,1.0,1.0,1,0,0.0,0.0,300.0,0.6
Deroz,1,300.0,300.0,19.0,0.0,1.0,1.0,1,0,0.0,0.0,300.0,0.6
Dim,1,300.0,300.0,17.0,0.0,1.0,1.0,1,0,0.0,0.0,300.0,0.6
FireSnail,1,300.0,300.0,17.0,0.0,1.0,1.0,1,0,0.0,0.0,300.0,0.6
lubashley,1,300.0,300.0,18.0,0.0,1.0,1.0,1,0,0.0,0.0,300.0,0.6
wasapmaaan,1,300.0,300.0,18.0,0.0,1.0,1.0,1,0,0.0,0.0,300.0,0.6
